timestamp,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z
1691759735336483,0.03812665,-1.42472982,0.32701728,0.01146016,-0.00401679,-0.00014497,0.99992627,-0.00588405,0.00426984,-0.17406002,0.00244272,-0.00278835,0.00725314
1691759735340119,0.03843944,-1.42477977,0.32599729,0.01139859,-0.00408054,-0.00020387,0.99992669,0.07666874,-0.01190381,-0.26968384,-0.03374159,-0.03468873,-0.03293382
1691759735343756,0.03840367,-1.42475843,0.32531875,0.01139121,-0.00408782,-0.00019558,0.99992675,-0.00103204,0.00405879,-0.19502328,-0.00407864,-0.00405091,0.00449564
1691759735347392,0.03852341,-1.42473817,0.32446405,0.01136703,-0.00411343,-0.00022110,0.99992692,0.02947323,0.00541936,-0.23098913,-0.01324630,-0.01392324,-0.01425072
1691759735351028,0.03846633,-1.42471862,0.32382700,0.01136337,-0.00411745,-0.00021729,0.99992692,-0.01109899,0.00538120,-0.18088709,-0.00202402,-0.00223228,0.00205809
1691759735354665,0.03834635,-1.42470014,0.32324845,0.01138640,-0.00411794,-0.00018006,0.99992669,-0.03076330,0.00511101,-0.16129367,0.01258352,-0.00050666,0.02052255
1691759735358301,0.03856027,-1.42471087,0.32229903,0.01133507,-0.00416817,-0.00022024,0.99992704,0.04971152,-0.00212989,-0.25095099,-0.02815156,-0.02737382,-0.02253023
1691759735361938,0.03849630,-1.42468083,0.32160276,0.01133089,-0.00417237,-0.00021998,0.99992704,-0.01073984,0.00720257,-0.19749658,-0.00230037,-0.00230845,0.00010639
1691759735365574,0.03844799,-1.42468441,0.32088649,0.01132645,-0.00417331,-0.00021404,0.99992710,-0.01302717,-0.00015008,-0.19704489,-0.00245459,-0.00055527,0.00324902
1691759735369210,0.03837495,-1.42468655,0.32025024,0.01132662,-0.00417460,-0.00019867,0.99992710,-0.01937044,-0.00054534,-0.17723218,0.00005734,-0.00080473,0.00844660
1691759735372847,0.03835097,-1.42468739,0.31950095,0.01132361,-0.00417735,-0.00019342,0.99992710,-0.00789247,-0.00026158,-0.20308955,-0.00166960,-0.00154509,0.00286049
1691759735376483,0.03837395,-1.42466998,0.31873617,0.01132137,-0.00417978,-0.00019132,0.99992716,0.00487335,0.00427272,-0.20959954,-0.00123631,-0.00134818,0.00113441
1691759735380119,0.03833508,-1.42467523,0.31796384,0.01131938,-0.00417325,-0.00018493,0.99992722,-0.00910557,-0.00086066,-0.21212494,-0.00110416,0.00355462,0.00355187
1691759735383756,0.03831836,-1.42466521,0.31720179,0.01131890,-0.00416634,-0.00017581,0.99992722,-0.00505664,0.00238552,-0.20979029,-0.00028566,0.00373823,0.00505957
1691759735387392,0.03831331,-1.42463779,0.31647083,0.01132156,-0.00415851,-0.00016080,0.99992722,-0.00176086,0.00701585,-0.20192604,0.00142962,0.00421762,0.00830973
1691759735391028,0.03824257,-1.42461181,0.31584758,0.01134263,-0.00414460,-0.00013249,0.99992704,-0.01765554,0.00713393,-0.17451937,0.01152430,0.00747046,0.01570554
1691759735394665,0.03828846,-1.42463541,0.31499809,0.01134340,-0.00413602,-0.00012556,0.99992710,0.00953850,-0.00510354,-0.22755921,0.00040726,0.00467082,0.00386740
1691759735398301,0.03849152,-1.42465961,0.31398353,0.01132425,-0.00414000,-0.00013658,0.99992728,0.05113249,-0.00649750,-0.27379116,-0.01050807,-0.00211803,-0.00613315
1691759735401938,0.03850066,-1.42463279,0.31327853,0.01132881,-0.00413388,-0.00012851,0.99992728,0.00745983,0.00596322,-0.20197727,0.00248667,0.00331792,0.00448460
1691759735405574,0.03857447,-1.42463052,0.31258255,0.01133167,-0.00414461,-0.00013449,0.99992716,0.01899224,0.00116667,-0.19248764,0.00159046,-0.00586526,-0.00334503
1691759735409210,0.03859796,-1.42463803,0.31181890,0.01133729,-0.00414165,-0.00012785,0.99992716,0.00773586,-0.00173641,-0.20824033,0.00307404,0.00158346,0.00368132
1691759735412847,0.03856548,-1.42461669,0.31106970,0.01134529,-0.00413055,-0.00011589,0.99992710,-0.00723385,0.00509337,-0.20622268,0.00437254,0.00602979,0.00666163
1691759735416483,0.03873572,-1.42462432,0.31014094,0.01131925,-0.00414912,-0.00014350,0.99992734,0.04131561,-0.00136605,-0.25042379,-0.01426362,-0.01003837,-0.01535701
1691759735420119,0.03862721,-1.42460585,0.30957207,0.01134542,-0.00413356,-0.00011219,0.99992710,-0.02259803,0.00442530,-0.16602184,0.01432889,0.00835735,0.01737514
1691759735423756,0.03859801,-1.42461336,0.30881891,0.01134717,-0.00412730,-0.00010567,0.99992710,-0.00951081,-0.00140453,-0.20290570,0.00094518,0.00340554,0.00363004
1691759735427392,0.03856013,-1.42459166,0.30806828,0.01135088,-0.00412492,-0.00009909,0.99992704,-0.01032444,0.00521646,-0.20608392,0.00202768,0.00126737,0.00364066
1691759735431028,0.03851652,-1.42456651,0.30739215,0.01136264,-0.00412909,-0.00008506,0.99992692,-0.01182537,0.00674458,-0.18800275,0.00643719,-0.00238422,0.00771707
1691759735434665,0.03849067,-1.42460537,0.30663586,0.01136235,-0.00412929,-0.00008004,0.99992692,-0.00758660,-0.00891168,-0.20591520,-0.00017002,-0.00014084,0.00275949
1691759735438301,0.03849237,-1.42460895,0.30589652,0.01136424,-0.00413480,-0.00007213,0.99992687,-0.00035190,-0.00179080,-0.20360018,0.00102007,-0.00308113,0.00432023
1691759735441938,0.03849488,-1.42459226,0.30510741,0.01136760,-0.00414603,-0.00005678,0.99992681,0.00058431,0.00393961,-0.21560611,0.00181087,-0.00626880,0.00837803
1691759735445574,0.03848395,-1.42457402,0.30439985,0.01137551,-0.00416748,-0.00003763,0.99992657,-0.00264049,0.00490661,-0.19673909,0.00430755,-0.01192141,0.01041515
