timestamp,thrust[0],thrust[1],thrust[2],thrust[3]
1704712223112139,0.22400001,0.27700001,0.26600000,0.24400000
1704712223122257,0.24900000,0.28200001,0.25999999,0.21600001
1704712223132368,0.23600000,0.28299999,0.26100001,0.23000000
1704712223142290,0.21699999,0.26800001,0.27300000,0.25099999
1704712223152312,0.23199999,0.28400001,0.25700000,0.23500000
1704712223162287,0.23199999,0.27800000,0.25999999,0.23300000
1704712223172322,0.22400001,0.27700001,0.26300001,0.24200000
1704712223182332,0.22600000,0.28600001,0.25299999,0.23700000
1704712223192346,0.22800000,0.27900001,0.25400001,0.24100000
1704712223202822,0.23300000,0.28500000,0.25000000,0.23000000
1704712223212419,0.23100001,0.27599999,0.25900000,0.23100001
1704712223222436,0.22800000,0.27399999,0.26300001,0.22700000
1704712223232446,0.22900000,0.28000000,0.25600001,0.23000000
1704712223242465,0.22600000,0.28799999,0.24400000,0.23300000
1704712223252987,0.22800000,0.27500001,0.25600001,0.22800000
1704712223262478,0.23600000,0.27800000,0.25600001,0.22000000
1704712223272457,0.23600000,0.27800000,0.25500000,0.22200000
1704712223282615,0.23000000,0.27900001,0.25700000,0.23100001
1704712223292585,0.23500000,0.27599999,0.25999999,0.22600000
1704712223302489,0.23100001,0.27800000,0.25700000,0.23199999
1704712223312499,0.23199999,0.28000000,0.25299999,0.23199999
1704712223322519,0.23100001,0.27900001,0.25400001,0.23500000
1704712223332140,0.23500000,0.28000000,0.25000000,0.23500000
1704712223342143,0.23899999,0.28400001,0.25500000,0.23000000
1704712223352156,0.23600000,0.27500001,0.26400000,0.23100001
1704712223362121,0.22800000,0.28799999,0.25200000,0.23700000
1704712223372175,0.23000000,0.28500000,0.25500000,0.23600000
1704712223382133,0.24100000,0.27700001,0.26100001,0.22700000
1704712223392145,0.24600001,0.27300000,0.26499999,0.22100000
1704712223402192,0.23100001,0.27700001,0.26300001,0.23899999
1704712223412191,0.23100001,0.28099999,0.25400001,0.23400000
1704712223422176,0.23400000,0.27599999,0.25700000,0.23400000
1704712223432265,0.22100000,0.28299999,0.25000000,0.24600001
1704712223442301,0.23700000,0.28700000,0.24100000,0.23000000
1704712223452322,0.23500000,0.27800000,0.24800000,0.23600000
1704712223462322,0.23899999,0.28400001,0.24400000,0.22800000
1704712223472304,0.22499999,0.28099999,0.24900000,0.23999999
1704712223482333,0.23199999,0.27200001,0.25400001,0.23199999
1704712223492338,0.23400000,0.27500001,0.25099999,0.23100001
1704712223502453,0.23300000,0.27700001,0.25200000,0.23000000
1704712223512353,0.23199999,0.27700001,0.25400001,0.23400000
1704712223522884,0.23300000,0.27200001,0.25500000,0.23300000
1704712223532384,0.22900000,0.28000000,0.24699999,0.23500000
1704712223542383,0.23100001,0.27200001,0.25799999,0.23700000
1704712223552426,0.22700000,0.27000001,0.25700000,0.24100000
1704712223562410,0.25000000,0.28500000,0.23999999,0.22400001
1704712223572495,0.22800000,0.28400001,0.24500000,0.24500000
1704712223582579,0.23100001,0.27500001,0.25600001,0.24200000
1704712223592535,0.23600000,0.28400001,0.24800000,0.23600000
1704712223602533,0.23400000,0.28099999,0.25299999,0.23600000
1704712223612537,0.22900000,0.27399999,0.25999999,0.24200000
1704712223622614,0.23700000,0.28099999,0.25400001,0.23500000
1704712223634595,0.23300000,0.28000000,0.25299999,0.24100000
1704712223642525,0.23000000,0.28099999,0.25099999,0.23899999
1704712223652562,0.22900000,0.28799999,0.24400000,0.24200000
1704712223662621,0.23400000,0.28600001,0.24400000,0.23800001
1704712223672169,0.23500000,0.27500001,0.25500000,0.23700000
1704712223682200,0.22800000,0.26899999,0.25700000,0.24100000
1704712223692687,0.22499999,0.27500001,0.25299999,0.24300000
1704712223702231,0.23899999,0.26899999,0.25299999,0.23100001
1704712223712241,0.23700000,0.27100000,0.25299999,0.22900000
1704712223722339,0.23500000,0.27200001,0.25200000,0.23400000
1704712223732225,0.23000000,0.27800000,0.25099999,0.23500000
1704712223742872,0.23199999,0.26899999,0.25700000,0.23400000
1704712223752334,0.23700000,0.28299999,0.24300000,0.23000000
1704712223762319,0.23100001,0.27500001,0.24800000,0.23899999
1704712223772528,0.22700000,0.27100000,0.25400001,0.24100000
1704712223782337,0.23000000,0.27399999,0.25500000,0.24300000
1704712223792345,0.23100001,0.28099999,0.24900000,0.24100000
1704712223802382,0.23300000,0.26699999,0.26199999,0.23899999
1704712223812391,0.23899999,0.27500001,0.25500000,0.23400000
1704712223822658,0.23300000,0.28200001,0.24500000,0.24300000
1704712223832490,0.23700000,0.27599999,0.25000000,0.24100000
1704712223842472,0.23300000,0.28600001,0.24500000,0.23999999
1704712223852526,0.22600000,0.27599999,0.24900000,0.25299999
1704712223862579,0.23999999,0.28400001,0.24800000,0.22900000
1704712223872722,0.23700000,0.27300000,0.25500000,0.23400000
1704712223882533,0.23800001,0.27399999,0.25099999,0.23000000
1704712223892519,0.23100001,0.26899999,0.25700000,0.23800001
1704712223902520,0.23400000,0.28000000,0.24600001,0.23300000
1704712223912528,0.23400000,0.27500001,0.24699999,0.23700000
1704712223922596,0.23199999,0.27300000,0.25099999,0.23700000
1704712223932599,0.23600000,0.27100000,0.25299999,0.23199999
1704712223942550,0.23199999,0.27800000,0.24600001,0.23500000
1704712223952602,0.22400001,0.27800000,0.24600001,0.24500000
1704712223962581,0.23300000,0.27300000,0.24800000,0.23600000
1704712223972117,0.23300000,0.27300000,0.25000000,0.23500000
1704712223982091,0.22400001,0.27300000,0.24900000,0.24699999
1704712223992681,0.23199999,0.27800000,0.24600001,0.24100000
1704712224002184,0.22900000,0.27599999,0.25500000,0.24200000
1704712224012711,0.23199999,0.28200001,0.24500000,0.24200000
1704712224022246,0.23400000,0.28600001,0.24300000,0.24200000
1704712224032250,0.23300000,0.28299999,0.24600001,0.24400000
1704712224042278,0.23300000,0.28000000,0.25000000,0.24200000
1704712224052266,0.24300000,0.28500000,0.24200000,0.23400000
1704712224062244,0.23100001,0.27800000,0.25200000,0.24400000
1704712224072289,0.23899999,0.27500001,0.25200000,0.24300000
1704712224082297,0.24699999,0.28500000,0.24300000,0.23500000
1704712224092350,0.23999999,0.28000000,0.24900000,0.23999999
1704712224102449,0.24200000,0.27599999,0.25500000,0.23000000
1704712224112405,0.23800001,0.27100000,0.25900000,0.22900000
1704712224122492,0.23000000,0.27300000,0.25200000,0.23500000
1704712224132556,0.23300000,0.27800000,0.24600001,0.23300000
1704712224142626,0.22200000,0.26800001,0.25299999,0.23800001
1704712224152541,0.23300000,0.27100000,0.24900000,0.22900000
1704712224162577,0.23000000,0.27800000,0.23999999,0.23100001
1704712224172588,0.22300000,0.28000000,0.24200000,0.23700000
1704712224183231,0.22400001,0.26899999,0.24400000,0.23199999
1704712224192598,0.22700000,0.27399999,0.24600001,0.23300000
1704712224202667,0.23800001,0.27700001,0.24200000,0.22300000
1704712224212175,0.23100001,0.27599999,0.24100000,0.22900000
1704712224222169,0.22800000,0.27399999,0.25099999,0.23500000
1704712224232704,0.23400000,0.26899999,0.25500000,0.23000000
1704712224242705,0.23100001,0.28200001,0.24600001,0.23600000
1704712224252225,0.23000000,0.28000000,0.24699999,0.23899999
1704712224262196,0.23999999,0.28200001,0.24800000,0.23000000
1704712224272204,0.23999999,0.26899999,0.26199999,0.23300000
1704712224282235,0.23600000,0.27900001,0.25500000,0.23899999
1704712224292265,0.23700000,0.27599999,0.25700000,0.23600000
1704712224302747,0.23000000,0.28200001,0.25299999,0.24300000
1704712224312246,0.23600000,0.27599999,0.25999999,0.23800001
1704712224322242,0.23300000,0.27800000,0.25900000,0.24500000
1704712224332600,0.22900000,0.27399999,0.26199999,0.24900000
1704712224342320,0.22900000,0.28200001,0.25299999,0.24699999
1704712224352298,0.23700000,0.28400001,0.25099999,0.23700000
1704712224362309,0.23000000,0.27599999,0.25900000,0.24200000
1704712224372287,0.23199999,0.27500001,0.25700000,0.23800001
1704712224382392,0.23000000,0.27200001,0.26100001,0.23999999
1704712224392426,0.23400000,0.28000000,0.25200000,0.23199999
1704712224402444,0.23000000,0.28000000,0.25200000,0.23700000
1704712224412523,0.22800000,0.27599999,0.25200000,0.23800001
1704712224422949,0.23300000,0.28500000,0.24500000,0.23100001
1704712224432469,0.23100001,0.28500000,0.24200000,0.23600000
