timestamp,roll,pitch,yaw,norm_thrust
1704712214436923,0.00240725,-0.07640168,-0.00177066,10.21103477
1704712214442923,-0.00321999,-0.08694595,-0.00176954,10.21277142
1704712214448876,-0.00660497,-0.08857799,-0.00163664,10.21007919
1704712214454926,-0.01085382,-0.08913478,-0.00166143,10.19035149
1704712214460847,-0.01272248,-0.08579969,-0.00187299,10.19351196
1704712214466881,-0.01445866,-0.07757826,-0.00206625,10.19504261
1704712214472860,-0.01589272,-0.07151464,-0.00214502,10.17996120
1704712214478890,-0.01522032,-0.05810473,-0.00216080,10.18338203
1704712214485128,-0.01674926,-0.05124180,-0.00225535,10.19231987
1704712214490877,-0.02043597,-0.05076859,-0.00232047,10.18819427
1704712214498894,-0.02098096,-0.05960065,-0.00260585,10.21661091
1704712214504878,-0.02070688,-0.06187892,-0.00256743,10.21060848
1704712214510870,-0.01730259,-0.05914880,-0.00261436,10.22421837
1704712214516893,-0.01578859,-0.05372221,-0.00267789,10.24464893
1704712214522896,-0.01614787,-0.05207530,-0.00259769,10.24667835
1704712214528943,-0.01543205,-0.05080888,-0.00214168,10.27176285
1704712214534940,-0.01404736,-0.04775809,-0.00170683,10.27479839
1704712214540884,-0.00918647,-0.04004448,-0.00141960,10.29940319
1704712214546922,-0.00454144,-0.03448976,-0.00118804,10.32760239
1704712214552914,-0.00368737,-0.03060266,-0.00102145,10.33325577
1704712214562932,-0.00210088,-0.02471250,-0.00108805,10.36349773
1704712214564887,-0.00121922,-0.02154749,-0.00117905,10.37628365
1704712214574862,-0.00137578,-0.00590647,-0.00150124,10.37463856
1704712214580856,-0.00314559,0.01137986,-0.00163241,10.38911438
1704712214586884,-0.00736788,0.02310533,-0.00165271,10.40553951
1704712214592888,-0.01238849,0.02546744,-0.00191003,10.39940834
1704712214598886,-0.01824065,0.02493212,-0.00243769,10.41204166
1704712214604839,-0.02177205,0.02813368,-0.00283666,10.42054462
1704712214608887,-0.02487522,0.02896959,-0.00301110,10.42168617
1704712214616867,-0.03029952,0.03005870,-0.00319080,10.42489815
1704712214624864,-0.03455291,0.02834411,-0.00323303,10.42925549
1704712214630870,-0.03403726,0.02920468,-0.00336293,10.44341850
1704712214636921,-0.03170501,0.02716614,-0.00349545,10.46130371
1704712214642903,-0.03108345,0.02037778,-0.00374980,10.45753288
1704712214648832,-0.02730009,0.02153019,-0.00406162,10.47100925
1704712214655244,-0.02327601,0.02892601,-0.00444720,10.48142242
1704712214660897,-0.01919012,0.02733338,-0.00475865,10.47552299
1704712214666935,-0.01159292,0.02801927,-0.00514548,10.48679924
1704712214672922,-0.00233696,0.02328985,-0.00556780,10.47393990
1704712214678917,0.00717690,0.02455794,-0.00599781,10.47704220
1704712214684917,0.01527823,0.02682864,-0.00627934,10.47832108
1704712214694963,0.03001107,0.02442512,-0.00690513,10.45219612
1704712214700883,0.03507015,0.02238223,-0.00741409,10.45818329
1704712214706902,0.03817313,0.02077491,-0.00785101,10.45998764
1704712214712951,0.03986254,0.01756537,-0.00824996,10.44215393
1704712214718979,0.03883050,0.02264896,-0.00843739,10.44273567
1704712214724881,0.03513736,0.01975059,-0.00830543,10.44968987
1704712214730972,0.02903427,0.01621288,-0.00810327,10.43634892
1704712214737005,0.02111176,0.02129258,-0.00781456,10.44342613
1704712214742886,0.01399320,0.02902114,-0.00773786,10.45697498
1704712214748951,0.00940344,0.03182234,-0.00746529,10.45484161
1704712214756902,0.00961695,0.04660169,-0.00730182,10.49222755
1704712214762936,0.00856464,0.05338137,-0.00722820,10.49626637
1704712214768889,0.01256035,0.06684680,-0.00728228,10.51912403
1704712214774862,0.01661069,0.07046527,-0.00722255,10.52575207
1704712214780905,0.02259004,0.07568686,-0.00745768,10.55432701
1704712214786965,0.03228239,0.07928094,-0.00746103,10.57791996
1704712214792883,0.04018509,0.07868592,-0.00736341,10.58302689
1704712214798926,0.04795868,0.07734439,-0.00733042,10.61149883
1704712214805008,0.05134450,0.07315281,-0.00728626,10.63484383
1704712214810894,0.05051170,0.06364625,-0.00731360,10.63665104
1704712214820907,0.04766681,0.04282224,-0.00738605,10.66303539
1704712214822928,0.04758944,0.04106048,-0.00733375,10.67283630
1704712214832941,0.04093147,0.01346693,-0.00755973,10.67580700
1704712214838903,0.03219803,-0.00116336,-0.00743024,10.68900490
1704712214844954,0.02056009,-0.00820641,-0.00717734,10.69964027
1704712214850917,0.00488321,-0.01675856,-0.00677075,10.69239998
1704712214856903,-0.00475284,-0.02088059,-0.00669546,10.70082569
